league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
arabia_saudita_pro_league_2026_2027,2026-08-14,1,Neom SC,Al-Fayha,2,1,Al-Fayha,away,47,13,5,6,9,4,2,1.14,2,1,1,479,425,88.7,46,28,61,25,10,40,17,5,29,42,52,19,37,17,10,59,10,10,60,11,1,1,4,16,7,5,18,6,51,8,1,0,2,2,0,0,-0.68,,3,149,121,81,64,26,1,76,38,71,38,56,24,1.09
arabia_saudita_pro_league_2026_2027,2026-08-14,1,Neom SC,Al-Fayha,2,1,Neom SC,home,53,15,5,5,10,5,5,1.62,3,2,1,557,496,89.0,38,19,50,16,5,31,9,2,22,58,52,33,63,17,7,41,20,20,50,5,0,0,3,17,7,11,20,8,46,3,0,1,5,5,2,1,0.98,,0,183,147,80,61,31,2,70,21,75,55,46,24,1.1
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,Al-Nassr,home,58,16,6,6,13,3,4,2.22,2,1,1,413,355,86.0,54,34,63,30,6,20,21,12,57,45,79,37,47,12,4,33,17,17,65,15,2,0,10,20,5,8,10,11,53,10,1,,1,1,0,0,-0.16,,0,168,125,74,75,36,4,104,28,63,27,64,45,2.0
arabia_saudita_pro_league_2026_2027,2026-08-28,4,Al-Nassr,Al-Taawoun,2,1,Al-Taawoun,away,42,5,2,1,2,3,2,0.89,1,1,0,313,254,81.2,44,19,43,9,1,11,13,8,62,55,79,42,53,12,8,67,19,19,63,8,1,1,4,20,6,15,32,14,45,12,2,,3,3,1,1,0.4,,1,75,54,72,37,9,0,58,23,84,60,32,17,0.8
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,Al Diriyah,away,46,16,7,6,11,5,3,2.28,4,2,2,365,315,86.3,45,23,51,9,1,11,14,7,50,46,49,25,51,14,4,29,12,12,33,7,1,6,6,9,11,7,17,10,47,4,2,1,7,7,0,,1.55,,1,68,47,69,40,21,2,60,18,60,52,33,30,2.17
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Ettifaq,Al Diriyah,0,3,Al-Ettifaq,home,54,17,7,7,15,2,3,1.27,2,0,2,428,384,89.7,28,21,75,20,6,30,13,7,54,54,49,24,49,14,10,71,11,11,45,7,1,1,6,9,4,7,14,6,38,6,2,0,4,4,3,,-0.31,,0,177,145,82,72,32,2,69,32,50,31,49,37,1.3
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,Al-Fateh,home,37,11,7,4,9,2,0,0.99,1,,1,323,260,80.5,50,19,38,11,4,36,12,8,67,59,73,43,59,22,13,59,21,21,48,10,3,2,1,11,9,15,30,5,55,11,0,0,8,8,3,1,1.81,,1,68,43,63,39,20,4,46,24,56,55,21,21,0.9
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Fateh,Al-Ittihad,0,0,Al-Ittihad,away,63,24,8,4,21,3,12,2.1,4,,4,522,458,87.7,43,27,63,38,7,18,18,7,39,41,73,30,41,22,9,41,15,15,80,15,4,0,10,18,4,10,11,8,59,10,3,2,7,7,0,2,1.03,,0,246,197,80,105,57,3,82,34,51,28,56,38,2.11
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Kholood,Al-Ahli,3,1,Al-Ahli,away,69,16,3,7,11,5,6,2.28,3,0,3,534,458,85.8,45,22,49,41,10,24,14,8,57,56,82,47,57,25,13,52,23,23,61,10,1,1,4,20,4,17,5,9,51,9,0,,0,0,,0,-1.39,1,0,177,124,70,79,36,4,90,18,79,34,71,48,1.42
arabia_saudita_pro_league_2026_2027,2026-08-29,4,Al-Kholood,Al-Ahli,3,1,Al-Kholood,home,31,4,3,0,2,2,1,1.15,1,1,0,250,187,74.8,45,13,29,4,1,0,22,10,45,44,82,35,43,25,12,48,15,15,60,17,2,4,1,18,11,10,46,12,52,11,0,,2,2,,2,-0.26,0,2,70,39,56,46,7,0,59,18,61,55,42,27,1.15
arabia_saudita_pro_league_2026_2027,2026-08-30,4,Al-Hazem,Al-Shabab,1,1,Al-Hazem,home,45,8,4,2,2,6,2,1.02,1,1,0,362,303,83.7,29,18,62,25,4,16,12,6,50,44,73,31,42,14,7,50,16,16,50,15,1,1,3,18,5,10,21,14,53,9,0,0,4,4,2,3,0.52,,,126,96,76,49,18,3,52,25,48,35,41,40,1.0
arabia_saudita_pro_league_2026_2027,2026-08-30,4,Al-Hazem,Al-Shabab,1,1,Al-Shabab,away,55,11,6,2,7,4,3,1.54,4,1,3,444,374,84.2,53,32,60,21,2,10,21,12,57,56,73,42,58,14,7,50,15,15,67,11,3,2,8,10,3,15,26,9,55,7,0,1,3,3,1,2,-0.27,,,161,122,76,60,31,3,54,29,61,37,33,34,0.84
arabia_saudita_pro_league_2026_2027,2026-08-30,4,Al-Qadsiah,Al Faisaly,3,1,Al Faisaly,away,43,5,2,2,2,3,1,0.71,1,1,0,387,323,83.5,52,27,52,15,2,13,11,7,64,49,59,28,47,9,5,56,10,10,60,7,3,0,2,16,10,12,15,11,44,12,0,0,7,7,1,0,-0.94,,1,86,59,69,42,10,2,49,16,57,60,32,24,0.7
arabia_saudita_pro_league_2026_2027,2026-08-30,4,Al-Qadsiah,Al Faisaly,3,1,Al-Qadsiah,home,57,17,9,7,13,4,1,2.46,6,2,4,520,465,89.4,44,30,68,12,5,42,14,8,57,51,59,31,53,9,4,44,16,16,56,12,0,4,4,10,6,7,15,13,48,4,0,1,1,1,1,1,0.17,,0,145,123,85,53,34,2,62,29,53,33,49,38,2.23
