league,match_date,round_number,home_team,away_team,home_score,away_score,team,venue,ball_possession,total_shots,shots_on_target,shots_off_target,shots_inside_box,shots_outside_box,blocked_shots,expected_goals,big_chances,big_chances_scored,big_chances_missed,passes,accurate_passes,pass_accuracy_pct,long_balls_total,long_balls_value,long_balls_pct,crosses_total,crosses_value,crosses_pct,dribbles_total,dribbles_value,dribbles_pct,duels,ground_duels_total,ground_duels_value,ground_duels_pct,aerial_duels_total,aerial_duels_value,aerial_duels_pct,total_tackles,tackles,tackles_won,fouls,yellow_cards,offsides,corner_kicks,throw_ins,goal_kicks,free_kicks,clearances,interceptions,recoveries,dispossessed,hit_woodwork,through_balls,total_saves,goalkeeper_saves,big_saves,high_claims,goals_prevented,errors_lead_to_a_goal,errors_lead_to_a_shot,final_third_phase_total,final_third_phase_value,final_third_phase_pct,final_third_entries,touches_in_penalty_area,fouled_in_final_third,attack,attack_pct,ball_safe,ball_safe_pct,dangerous_attack,dangerous_attack_pct,xg_actual
eredivisie_2026_2027,2026-08-09,1,PEC Zwolle,AFC Ajax,0,2,AFC Ajax,away,69,26,6,8,13,13,12,1.97,2,1,1,547,481,87.9,34,15,44,26,6,23,20,8,40,48,69,32,46,35,18,51,13,13,69,10,2,,10,28,3,12,17,4,57,10,0,,2,2,0,2,0.26,,0,167,138,83,54,43,0,115,24,98,46,53,30,1.54
eredivisie_2026_2027,2026-08-09,1,PEC Zwolle,AFC Ajax,0,2,PEC Zwolle,home,31,7,2,2,4,3,3,0.59,1,0,1,236,174,73.7,61,28,46,12,3,25,17,6,35,52,69,37,54,35,17,49,22,22,45,12,2,,2,22,8,10,32,8,49,2,0,,4,4,2,2,0.21,,1,80,45,56,51,14,2,73,32,77,53,28,15,0.59
eredivisie_2026_2027,2026-08-09,1,Sparta Rotterdam,Feyenoord,0,1,Feyenoord,away,60,22,6,10,16,6,6,3.59,3,,3,509,453,89.0,42,23,55,20,5,25,15,10,67,60,63,39,62,29,16,55,18,18,39,8,1,2,10,12,15,11,21,9,35,7,0,1,1,1,0,,0.0,,1,172,143,83,60,51,1,76,21,67,48,56,31,3.53
eredivisie_2026_2027,2026-08-09,1,Sparta Rotterdam,Feyenoord,0,1,Sparta Rotterdam,home,40,10,0,9,8,2,1,0.97,3,,3,334,258,77.2,61,26,43,20,9,45,13,4,31,40,63,24,38,29,13,45,12,12,42,11,3,5,5,11,18,8,21,3,39,9,0,0,6,6,1,,0.56,,1,62,37,60,38,23,1,60,16,68,59,34,25,1.01
eredivisie_2026_2027,2026-08-29,4,PEC Zwolle,NEC Nijmegen,1,3,NEC Nijmegen,away,48,8,4,2,6,2,2,1.98,3,2,1,341,227,66.6,59,16,27,14,6,43,16,7,44,53,67,34,51,40,23,57,12,12,67,12,3,0,7,18,5,15,23,17,60,9,0,,1,1,,1,0.03,,,106,62,58,47,21,4,47,21,65,48,30,31,2.01
eredivisie_2026_2027,2026-08-29,4,PEC Zwolle,NEC Nijmegen,1,3,PEC Zwolle,home,52,9,2,5,7,2,2,1.98,2,1,1,375,259,69.1,64,24,38,16,2,13,8,3,38,47,67,33,49,40,17,43,18,18,50,17,1,4,6,32,10,10,17,11,48,7,1,,1,1,,1,-0.83,,,95,44,46,61,23,4,59,15,67,43,44,42,1.98
eredivisie_2026_2027,2026-08-30,4,FC Utrecht,PSV Eindhoven,1,6,FC Utrecht,home,34,1,1,0,1,0,0,0.3,1,1,0,297,222,74.7,53,18,34,7,0,0,9,4,44,47,70,34,49,17,7,41,22,22,77,21,5,1,0,16,13,8,29,12,34,5,0,0,7,7,5,1,-2.38,,2,39,20,51,24,4,0,51,22,71,69,14,9,0.3
eredivisie_2026_2027,2026-08-30,4,FC Utrecht,PSV Eindhoven,1,6,PSV Eindhoven,away,66,30,14,11,15,15,5,3.58,5,3,2,562,508,90.4,34,23,68,35,5,14,17,7,41,53,70,36,51,17,10,59,10,10,70,8,1,1,13,23,2,20,4,8,42,12,1,1,0,0,0,1,-0.81,,0,217,192,88,54,36,9,86,30,48,24,54,46,3.58
eredivisie_2026_2027,2026-08-30,4,Feyenoord,ADO Den Haag,2,2,ADO Den Haag,away,31,8,3,2,4,4,3,0.24,0,0,0,275,212,77.1,52,19,37,11,4,36,5,3,60,59,58,34,59,18,11,61,26,26,65,9,3,3,3,10,12,5,48,8,42,4,0,0,10,10,4,,0.3,,,74,41,55,38,12,1,63,18,65,52,22,30,0.25
eredivisie_2026_2027,2026-08-30,4,Feyenoord,ADO Den Haag,2,2,Feyenoord,home,69,33,12,11,17,16,10,2.47,2,1,1,617,574,93.0,19,12,63,28,5,18,27,9,33,41,58,24,41,18,7,39,6,6,50,5,0,2,11,24,5,9,14,9,42,8,2,2,1,1,0,,-1.29,,,269,238,88,91,50,4,87,28,65,21,61,51,2.4
eredivisie_2026_2027,2026-08-30,4,SC Cambuur,FC Twente,1,4,FC Twente,away,64,23,10,9,13,10,4,1.76,4,3,1,599,533,89.0,41,21,51,16,3,19,24,10,42,47,67,30,45,23,12,52,15,15,67,14,1,2,9,13,7,6,10,6,54,6,0,1,2,2,1,1,-0.31,0,0,176,146,83,56,38,0,,,,,,,1.76
eredivisie_2026_2027,2026-08-30,4,SC Cambuur,FC Twente,1,4,SC Cambuur,home,36,10,3,7,5,5,0,0.47,0,0,0,338,274,81.1,56,25,45,4,1,25,13,5,38,53,67,37,55,23,11,48,20,20,75,6,1,2,2,10,9,14,35,8,45,7,0,0,6,6,2,0,-1.69,1,2,76,44,58,51,8,2,,,,,,,0.47
eredivisie_2026_2027,2026-08-30,4,SC Telstar,AFC Ajax,0,4,AFC Ajax,away,58,12,9,2,6,6,1,2.13,4,3,1,537,478,89.0,31,14,45,30,5,17,12,7,58,55,55,31,56,16,8,50,13,13,62,13,,2,4,9,8,11,13,9,56,5,0,0,5,5,,,0.84,0,1,192,169,88,60,23,3,91,29,76,40,61,31,2.16
eredivisie_2026_2027,2026-08-30,4,SC Telstar,AFC Ajax,0,4,SC Telstar,home,42,11,4,5,9,2,2,1.13,2,0,2,397,328,82.6,44,15,34,13,3,23,7,2,29,45,55,24,44,16,8,50,10,10,50,11,,2,5,12,5,13,25,3,52,8,0,1,5,5,,,-1.07,1,0,81,47,58,38,21,2,88,22,82,54,32,24,1.13
eredivisie_2026_2027,2026-08-30,4,Willem II Tilburg,SC Heerenveen,2,2,SC Heerenveen,away,61,13,5,5,11,2,3,1.35,3,1,2,517,452,87.4,55,28,51,23,9,39,16,8,50,50,54,25,46,18,11,61,8,8,38,5,,2,7,14,8,9,22,1,44,11,0,0,2,2,1,,0.33,,3,180,146,81,75,38,2,96,26,70,35,60,39,1.35
eredivisie_2026_2027,2026-08-30,4,Willem II Tilburg,SC Heerenveen,2,2,Willem II Tilburg,home,39,12,5,5,8,4,2,1.7,5,2,3,320,245,76.6,75,30,40,22,3,14,13,5,38,50,54,29,54,18,7,39,19,19,42,9,,2,9,15,9,5,24,7,42,0,1,2,3,3,0,,-0.09,,0,102,66,65,54,14,0,83,21,77,46,38,33,1.7
